frame,track_id,x1,y1,x2,y2
1,3,499,156,530,231
1,2,253,219,282,308
1,1,640,240,683,322
2,3,498,157,530,232
2,2,258,215,299,312
2,1,634,240,681,324
3,3,496,159,528,235
3,2,259,215,305,311
3,1,631,242,675,324
4,3,493,161,524,235
4,2,269,215,309,304
4,1,617,242,655,320
5,3,491,163,519,235
5,2,277,214,316,301
5,1,601,241,644,323
6,3,487,163,516,237
6,2,282,211,321,301
6,1,592,239,639,325
7,3,484,164,513,240
7,2,286,211,327,301
7,1,587,240,631,324
8,3,482,164,511,241
8,2,292,210,332,299
8,1,580,240,617,321
9,3,478,165,507,241
9,2,299,209,335,297
9,1,570,240,606,321
10,3,473,164,503,242
10,2,305,209,339,294
10,1,558,239,599,323
11,3,467,166,500,245
11,2,315,207,351,293
11,1,548,239,586,322
12,3,462,167,496,247
12,2,320,206,357,292
12,1,538,239,572,322
13,3,459,168,491,247
13,2,323,204,360,291
13,1,526,238,562,322
14,6,729,285,764,414
14,3,453,169,483,248
14,2,331,201,367,287
14,1,513,238,552,324
15,6,722,282,763,414
15,3,446,170,478,249
15,2,336,199,371,286
15,1,503,237,540,322
16,6,718,279,761,406
16,3,442,171,476,250
16,2,340,198,376,285
16,1,495,236,528,320
17,6,715,276,757,399
17,3,439,171,471,250
17,2,345,197,379,284
17,1,483,235,519,320
18,6,706,274,749,395
18,3,431,167,463,236
18,2,353,194,388,280
18,1,472,235,511,321
19,6,697,274,742,394
19,3,429,168,458,231
19,2,358,193,395,278
19,1,463,234,500,319
20,8,735,266,766,389
20,6,694,273,739,390
20,2,361,192,400,277
20,1,455,233,489,318
21,8,727,264,758,379
21,6,685,268,728,382
21,2,363,191,401,276
21,1,442,232,478,317
22,8,721,264,753,375
22,6,679,267,720,379
22,2,364,190,402,275
22,1,434,230,468,315
23,8,712,262,748,373
23,6,671,266,713,378
23,2,365,189,402,273
23,1,428,230,460,313
24,8,704,260,741,370
24,6,663,263,705,374
24,2,368,188,403,272
24,1,416,235,449,313
25,8,697,257,734,364
25,6,658,259,699,368
25,2,370,187,402,270
25,1,410,219,445,306
26,11,390,171,413,249
26,8,691,254,728,361
26,6,655,257,694,364
26,2,372,187,402,270
27,11,380,173,411,266
27,8,686,253,725,360
27,6,654,256,691,362
27,2,373,186,402,269
27,1,390,198,423,293
28,11,388,180,415,268
28,8,681,253,721,359
28,6,644,256,683,362
28,2,374,184,402,267
28,1,389,194,420,294
29,11,392,183,426,292
29,8,675,249,713,353
29,6,637,254,677,358
29,2,377,181,406,265
30,11,394,184,429,299
30,8,670,248,705,349
30,6,632,252,671,354
30,2,378,180,407,264
31,8,665,246,699,346
31,6,627,250,666,352
31,2,379,180,409,264
32,11,398,194,432,303
32,8,655,246,691,344
32,6,619,249,658,351
32,2,379,179,409,263
33,8,650,244,686,342
33,6,612,248,653,350
33,2,380,178,410,262
34,8,643,242,678,339
34,6,608,245,648,348
34,2,381,177,412,262
35,8,638,240,671,336
35,6,604,243,644,345
35,2,380,177,412,261
36,8,634,239,667,335
36,6,601,241,640,342
36,2,379,178,410,261
37,12,375,180,398,258
37,8,627,238,661,335
37,6,593,239,632,339
38,13,396,180,423,263
38,12,374,179,398,259
38,8,621,236,654,332
38,6,590,238,630,338
38,2,389,181,416,263
39,13,395,180,424,264
39,12,373,179,398,259
39,8,614,233,647,329
39,6,585,236,625,335
39,2,391,180,416,261
40,12,374,177,400,258
40,8,604,231,638,327
40,6,574,234,612,332
40,2,395,183,419,262
41,12,376,177,401,258
41,8,600,230,634,326
41,6,567,233,605,331
41,2,396,184,420,262
42,12,377,176,403,257
42,8,596,228,630,324
42,6,562,231,601,329
42,2,398,184,420,261
43,15,442,184,463,264
43,14,729,272,766,403
43,12,378,176,404,256
43,8,590,226,624,321
43,6,557,229,595,326
43,2,400,185,420,260
44,15,443,184,467,265
44,14,721,267,760,397
44,12,379,176,405,256
44,8,583,223,618,318
44,6,550,225,586,321
44,2,402,182,421,253
45,15,444,182,470,263
45,14,713,266,754,394
45,12,380,177,407,258
45,8,579,223,614,317
45,6,541,224,578,320
46,15,444,179,472,260
46,14,706,265,749,392
46,12,379,177,406,257
46,8,575,222,611,316
46,6,535,224,573,319
47,15,444,178,473,257
47,14,700,264,744,390
47,12,378,176,405,257
47,8,572,220,607,312
47,6,533,223,570,317
48,15,443,177,471,254
48,14,694,260,734,383
48,12,376,177,403,257
48,8,567,217,601,308
48,6,522,219,560,313
49,15,441,176,470,253
49,14,690,257,727,377
49,12,374,178,401,257
49,8,561,216,595,306
49,6,515,219,553,312
50,17,406,183,426,262
50,15,439,175,468,250
50,14,680,255,719,375
50,12,373,178,400,257
50,8,555,215,592,305
50,6,509,218,548,311
51,15,434,173,463,247
51,14,671,253,712,373
51,12,373,178,400,257
51,8,551,213,587,303
51,6,503,215,541,308
52,15,432,172,460,245
52,14,667,251,708,370
52,12,373,179,400,257
52,8,546,211,580,300
52,6,500,213,537,305
53,14,660,249,701,366
53,12,373,179,400,257
53,8,541,210,573,299
53,6,498,212,533,303
54,14,653,248,694,363
54,12,373,179,400,257
54,8,537,210,569,298
54,6,496,212,530,303
55,14,643,247,685,362
55,12,373,179,399,257
55,8,531,209,564,297
55,6,490,210,524,301
56,14,638,246,679,361
56,12,374,179,399,256
56,8,527,207,560,295
56,6,484,209,519,299
57,14,635,243,674,357
57,12,374,179,399,256
57,8,524,205,555,292
57,6,479,208,515,297
58,20,383,165,412,262
58,14,629,239,666,351
58,12,376,176,401,255
58,8,516,204,549,290
58,6,472,206,510,297
59,14,622,237,659,348
59,12,377,174,402,254
59,8,511,204,545,289
59,6,468,205,506,296
60,14,619,236,655,346
60,12,377,175,402,256
60,8,509,203,542,288
60,6,466,205,504,295
61,14,614,232,650,342
61,12,377,178,401,258
61,8,503,201,534,286
61,6,464,203,501,292
62,21,399,182,424,264
62,14,610,229,647,337
62,12,377,181,401,259
62,8,498,200,529,284
62,6,463,201,499,290
63,21,399,183,424,264
63,14,607,227,644,335
63,12,376,182,401,259
63,8,495,199,526,283
63,6,462,199,497,288
64,22,341,164,375,242
64,21,399,183,425,264
64,14,604,225,642,334
64,12,374,182,400,260
64,8,493,199,523,283
64,6,461,199,494,286
65,22,333,166,361,238
65,21,400,183,425,264
65,14,601,223,637,331
65,12,373,182,399,260
65,8,491,197,520,280
65,6,458,197,491,284
66,22,327,167,354,237
66,21,401,183,425,264
66,14,599,221,634,328
66,12,373,181,400,260
66,8,489,195,518,278
66,6,454,195,488,282
67,22,320,167,349,237
67,14,597,217,632,323
67,12,371,180,400,260
67,8,487,194,515,276
67,6,451,194,484,280
68,22,315,167,345,237
68,14,595,215,629,320
68,12,372,180,400,260
68,8,485,193,513,275
68,6,448,193,481,279
69,22,305,167,333,235
69,14,592,214,625,318
69,12,371,180,400,260
69,8,482,192,510,273
69,6,445,193,478,278
70,22,297,166,326,236
70,14,589,210,622,314
70,12,371,180,400,260
70,8,479,190,507,271
70,6,444,192,476,277
71,22,291,167,322,236
71,14,586,207,620,310
71,12,371,180,400,260
71,8,478,188,506,270
71,6,442,190,475,275
72,22,287,167,319,237
72,14,583,205,618,307
72,12,371,180,400,260
72,8,476,187,504,268
72,6,442,187,474,272
73,22,279,168,308,236
73,14,580,204,614,306
73,12,370,180,400,260
73,8,476,186,504,268
73,6,441,186,472,270
74,22,272,168,302,236
74,14,578,203,612,303
74,12,370,180,399,260
74,8,476,185,503,266
74,6,441,185,471,270
75,22,266,168,298,237
75,14,577,200,610,300
75,12,371,180,399,260
75,8,476,183,503,265
75,6,440,184,470,268
76,22,261,169,291,237
76,14,575,196,607,295
76,12,370,179,400,260
76,8,477,180,504,261
76,6,440,181,469,264
77,22,258,170,287,238
77,14,573,195,605,293
77,12,370,179,399,260
77,8,476,179,504,259
77,6,439,180,469,261
78,22,256,170,285,239
78,14,572,194,604,291
78,12,370,179,399,260
78,8,476,178,504,258
78,6,439,179,468,260
79,22,255,172,283,241
79,14,570,190,602,286
79,12,370,180,399,260
79,8,475,176,503,256
79,6,440,177,470,256
80,22,255,172,283,242
80,14,568,188,601,283
80,12,371,179,399,260
80,8,474,174,502,253
80,6,441,175,471,254
81,23,273,52,286,85
81,22,256,173,283,243
81,14,566,187,599,282
81,12,371,179,399,260
81,8,473,172,501,250
81,6,442,173,472,252
82,23,272,52,285,84
82,22,256,174,284,244
82,14,565,186,597,280
82,12,372,179,398,260
82,8,474,172,501,250
82,6,444,172,474,250
83,23,269,52,282,85
